job_id,skill
1,numpy
1,pytorch
1,gpt
1,tensorflow
2,python
2,deep learning
2,data analysis
3,opencv
3,data analysis
3,bert
4,pandas
4,python
4,scikit-learn
4,bert
4,ml
5,nlp
5,tensorflow
5,deep learning
6,langchain
6,pandas
6,machine learning
6,gpt
7,deep learning
7,opencv
7,neural networks
7,llm
8,deep learning
8,machine learning
8,transformers
8,numpy
8,neural networks
9,ai
9,pandas
9,statistics
10,data analysis
10,transformers
10,pandas
10,bert
11,opencv
11,gpt
11,numpy
12,llm
12,bert
12,opencv
12,numpy
13,nlp
13,ai
13,pandas
14,bert
14,nlp
14,data analysis
14,llm
14,data science
15,pandas
15,pytorch
15,numpy
16,huggingface
16,ai
16,computer vision
16,numpy
17,machine learning
17,tensorflow
17,pytorch
18,deep learning
18,ai
18,langchain
18,statistics
18,keras
19,transformers
19,gpt
19,tensorflow
20,neural networks
20,ml
20,scikit-learn
21,pandas
21,keras
21,scikit-learn
21,tensorflow
21,llm
22,data analysis
22,pytorch
22,computer vision
22,scikit-learn
22,opencv
23,python
23,tensorflow
23,computer vision
23,neural networks
24,deep learning
24,gpt
24,data science
24,opencv
24,pytorch
25,scikit-learn
25,pandas
25,keras
25,langchain
25,ml
26,bert
26,data analysis
26,neural networks
26,ai
26,transformers
27,statistics
27,tensorflow
27,numpy
27,deep learning
27,nlp
28,huggingface
28,numpy
28,python
29,numpy
29,deep learning
29,machine learning
30,pandas
30,transformers
30,data science
31,huggingface
31,data science
31,numpy
31,ml
31,data analysis
32,computer vision
32,ml
32,statistics
32,gpt
33,tensorflow
33,machine learning
33,ai
33,gpt
33,nlp
34,opencv
34,statistics
34,pytorch
35,numpy
35,deep learning
35,statistics
35,opencv
36,python
36,deep learning
36,numpy
36,scikit-learn
36,ml
37,machine learning
37,scikit-learn
37,ai
37,python
38,neural networks
38,ml
38,bert
38,gpt
39,data analysis
39,machine learning
39,huggingface
39,gpt
40,machine learning
40,huggingface
40,data science
41,scikit-learn
41,deep learning
41,langchain
42,ai
42,tensorflow
42,huggingface
43,langchain
43,deep learning
43,ml
44,bert
44,nlp
44,numpy
44,pandas
44,ai
45,statistics
45,nlp
45,deep learning
45,python
46,deep learning
46,opencv
46,data analysis
47,deep learning
47,numpy
47,computer vision
47,neural networks
48,bert
48,neural networks
48,langchain
48,llm
48,keras
49,neural networks
49,transformers
49,tensorflow
49,pytorch
49,pandas
50,pytorch
50,pandas
50,neural networks
50,langchain
50,data analysis
51,pandas
51,keras
51,data science
51,machine learning
51,deep learning
52,nlp
52,pytorch
52,llm
53,opencv
53,bert
53,ml
53,python
54,pytorch
54,opencv
54,machine learning
54,computer vision
54,huggingface
55,neural networks
55,computer vision
55,machine learning
56,transformers
56,tensorflow
56,computer vision
57,numpy
57,scikit-learn
57,ml
58,ml
58,transformers
58,gpt
58,numpy
59,tensorflow
59,ai
59,machine learning
59,data science
